ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
S142-MD-y23,1,0.691666172,0.799613483,0.92635487,1.987688892,0.994078702,0.459477811,0.106891512,-0.638018159,0.375188133,0.594165388,0.236371657,0.813088057,0.809112718,-0.571491911
S143-ND-y24,1,0.050317639,0.53987943,-1.194429148,2.076149177,0.817075175,-0.562644767,-1.072080914,-0.963604721,-0.061406292,1.003102331,0.689245701,0.906711379,1.010584585,0.046993862
S144-At-y25,1,0.863602273,0.167945984,-0.950192101,0.035600523,1.707001864,,,,-0.850683795,-1.014804224,0.55202931,0.752402654,0.304388546,-0.835532907
S145-LK-y26,1,-1.220642431,0.430659419,0.924139177,-0.422062769,1.039902798,-0.914248313,-1.088378835,-1.15989013,0.778584805,0.051315845,1.602298273,0.993736006,0.905751781,0.724422862
S146-RA-y27,1,0.305650796,0.316643559,0.528278207,-0.419745277,-0.640196298,-2.374787102,-0.572787695,-1.412339106,0.063095003,-1.14184279,-1.118770333,-0.356855827,0.606081347,0.916546338
S147-MD-y28,1,0.761070277,1.693960943,1.496825217,-0.37489628,1.220021395,-1.098426174,-0.587878709,-0.538150019,1.18524971,2.115968932,1.413980011,-0.150943101,0.626232991,-0.512658271
S148-DE-y29,1,0.173762233,0.040574482,0.160334389,-0.394449025,-0.170804944,,-0.594256198,,-0.055449593,0.172266049,-1.006321309,0.663594648,-0.530777436,1.316911344
S149-MCh-y30,1,0.530915315,1.308707167,0.66440094,-0.147518522,1.209702767,0.315195131,-0.894393553,0.251221101,-0.203470245,0.627735276,0.299203989,0.083713394,1.401654193,0.60514346
S164-MS-y201,1,0.365469646,-0.235602578,0.479364243,1.209807708,0.129990273,-0.173067011,-0.412005107,-0.716176559,1.41445997,0.86891553,0.308190262,0.770359072,1.021566485,0.600084575
S165-SB-y202,1,0.376878626,1.796535882,-0.595297987,1.933151099,1.649414588,,3.068139339,1.173851777,1.217166363,0.831741465,0.204168916,0.816110086,-0.184305693,0.073595031
S166-TB-y203,1,0.687295527,-0.323700938,0.139759503,0.178213077,-0.376990828,-0.737575867,-0.540936493,-0.570186563,0.386303954,-0.670768718,-0.805748365,0.16430251,-0.544159182,-0.722651117
S167-MM-y204,1,0.592142957,1.105367416,1.012661102,0.042568214,1.217144289,0.252482146,1.193945185,,0.707419088,-1.095699002,0.835749911,-0.082682406,-0.322466413,0.851570892
S168-QZ-y205,1,-1.436372037,2.426711886,2.540652447,-1.532525317,0.465861775,-1.095188615,0.395893649,0.168435021,1.734195965,0.777675665,-0.232222763,1.287634659,0.990594753,1.090437674
S169-GU-y206,1,0.678093987,-1.115939316,-0.681714766,-0.016846445,-0.520826752,-0.127737884,0.005393225,0.313820338,-0.863337068,-0.788317526,-0.623411892,-1.238682757,-1.018268501,-0.992287427
S170-LM-y207,1,0.357897758,1.104498905,-0.837267609,0.635536459,1.102235591,2.629459896,0.281318943,-1.20804898,0.610151466,-0.241625623,0.127685661,0.507442648,1.12286011,-0.175992871
S171-GD-y208,1,-0.955261273,1.58543613,0.21179042,2.840037613,-0.088221974,,,2.57918488,0.983479682,1.402344484,-0.766584425,0.59080677,-0.017095806,0.009220544
S172-LS-y209,1,0.264310856,0.219080662,0.455187353,-1.000411259,1.600020412,,-0.2077554,-0.445676347,-0.395373531,0.192589933,-0.147276814,0.93218882,1.098218461,0.95070986
S173-MN-y210,1,-0.035506575,1.612937746,1.509914031,1.518437049,0.391730215,-0.685792092,-1.328171056,0.122746186,1.568820078,1.889354068,0.971704666,-0.622756147,1.829708628,0.580458563
S174-LK-y211,1,0.58109099,0.289851436,0.816867529,0.011052186,-0.43967912,0.191122288,0.485788058,-0.93894517,1.125567646,0.420533121,-0.388859075,0.062774114,0.210538424,1.598615409
S175-SJ-y212,1,-0.675735126,0.541139295,0.418769284,-0.625187291,0.139623411,-0.275617738,-0.456418646,-0.090916063,0.60549984,0.264886609,0.367494278,-0.87468868,0.288706499,-0.100503511
S176-KK-y213,1,0.863602273,-0.026478982,0.101524594,-0.158673982,0.85947494,-0.180037253,-0.844644115,-1.302015198,0.514644391,0.313048553,-0.041642779,0.354166797,0.581370846,0.347212255
S177-KK-y214,1,0.863602273,0.026478982,0.475561736,-1.848034584,-0.928921398,0.383155891,0.037017173,0.179536673,1.195389997,1.386256102,-0.982675721,0.168161782,0.878114352,-0.053029253
S178-MM-y215,1,0.776193796,1.032003211,1.068414449,-3.273602004,0.598319697,-0.743202912,-1.122896718,-1.338224365,1.050754229,1.62383913,0.439410669,0.464560283,0.017095806,0.697500161
S179-TS-y216,1,0.109398319,-0.851119852,-0.233299081,0.099588253,-0.163834733,0.098334102,0.13531147,-0.593479917,0.565444562,0.305447967,-0.551515692,-0.46908808,0.3001116,0.332690944
S180-SC-y217,1,0.442702864,-0.50127273,-0.770845328,-1.729162406,0.104471679,0.242434352,-1.014775634,0.245809717,-0.594442742,0.590300796,-0.295791327,-0.595169976,0.693565368,-0.091424905
S181-AV-y218,1,-0.60911617,0.72045705,0.803072176,-0.065545434,0.809139654,,3.22019538,,-0.327845099,-0.5315495,-0.77833836,1.785614615,1.685528299,1.684827951
S182-ZK-y219,1,0.776193796,1.822301625,1.601322679,-1.32362978,1.288840601,0.256496161,-0.493821048,0.009867103,1.379301356,1.353902228,0.952828246,1.03022858,1.222593358,-0.044449664
S183-GE-y220,1,0.446637697,1.419277568,-0.878649091,0.426163014,2.463749685,1.649578749,2.289160844,3.437004562,0.357579792,-0.876542747,1.357811268,1.674065459,0.63028607,1.181341077
S102-RCh-o01,2,0.365048272,0.245796965,0.666083652,-0.904443462,-0.132888707,-0.992245181,-0.528425014,0.433186589,0.94768966,-0.23677294,0.407619028,0.234157606,-0.529868192,-0.247014841
S106-LJ-o02,2,-0.259788295,-0.659019004,0.047689891,0.899824777,-0.008587449,0.400122451,0.033650066,-0.028891364,0.625497713,0.97465377,0.578695003,-0.790059688,0.64394878,0.183182377
S110-MK-o03,2,0.58992841,-0.635088267,-1.636880179,1.594199714,0.353270101,-0.776787555,0.165524489,-0.094063262,0.237469802,1.53737621,1.227092608,-1.146246709,-1.032590755,0.423371786
S111-ZK-o04,2,-0.615690382,-0.371907613,-0.054133283,0.772017115,1.174922255,-1.398367486,-3.317400574,-1.627176359,-0.325935896,-0.524058212,1.618254959,-0.417567711,1.176133852,2.022337784
S112-NK-o05,2,0.022478764,-0.491540328,0.028471917,0.671973662,0.511274123,,,,-0.862858219,0.98225562,0.690997751,-0.521426967,0.246955613,0.644253896
S113-NU-o06,2,-1.388944512,0.631550076,0.900653692,-1.560643805,0.151731449,-0.585212441,0.126113553,-0.408731848,1.38692242,0.299575856,-0.089779148,-0.062774114,-1.107198471,-1.408301862
S114-ZB-o07,2,-1.074805955,-0.379743683,-0.186152536,-0.387473644,0.156814805,-0.478008135,-0.620181232,0.093763677,-0.683590731,-1.052257863,-0.095672125,-1.738316019,-1.909216945,-1.44343942
S117-RL-o08,2,-0.68282345,0.097723191,0.542721607,-1.325182279,0.009355168,-0.098334102,-0.798784786,-2.284482852,0.505676565,-0.375883616,-0.512065995,-0.948528176,0.114986643,0.895897279
S121-ON-o09,2,-0.025886233,-0.182690259,-0.147631248,1.483326643,0.005057098,-0.402371413,-0.318801412,0.769468174,0.054890563,0.665787914,0.35896413,-0.333594026,-0.48132845,-1.469329483
S124-EA-o10,2,0.309339186,-1.239489055,-0.907170965,1.805372513,-1.045101797,0.099756588,-0.54159737,0.142048267,-0.735922953,1.757875121,0.280783874,-1.077855284,0.206236264,0.166361723
S125-LSh-o11,2,-0.947525314,-1.268268345,-0.682105722,1.246332362,-0.319064634,0.4375058,0.788100411,0.107182286,-0.576838326,1.103801806,0.103190298,0.685405352,0.042256493,-0.451980468
S127-MS-o12,2,-0.868020915,-1.165148697,-0.667728737,-0.381559953,-0.676120121,-0.481973919,0.190291054,0.442606255,-0.380266466,-1.285634739,0.35656458,0.201082106,-0.477792449,-0.410444689
S132-BM-o13,2,-0.616644538,-0.171129136,-0.028471917,0.986598852,-2.13785742,0.905221968,1.767939556,0.511584986,-0.367057649,0.603471653,0.295519125,1.277054582,-0.029775432,0.522893897
S133-OT-o14,2,0.425733127,0.121083195,0.237225949,0.245937453,-0.672879879,0.244885121,0.443374168,0.105079499,1.502751381,-0.028711752,1.399544105,-0.611276361,0.303551766,0.863656952
S134-LJ-o15,2,-1.145080853,-1.092041281,-0.564706263,-0.979003526,-0.973837337,-0.15573358,-2.490602872,-3.040379021,-0.740507258,-1.228210918,-1.410693864,-1.611352585,-0.775188679,0.665753061
S135-MG-o16,2,-0.544495341,0.48640645,0.186899954,1.523704016,-0.772944661,,,,-0.754855345,-0.674339174,-0.672858606,0.40212781,-0.553135622,-1.370767462
S136-TM-o17,2,-0.140807335,-0.326643571,-0.457359199,2.202949029,-1.028066692,-1.705291046,-0.513699465,-1.59725521,-0.89695088,1.378202248,1.192613378,-0.502097718,-0.179002446,1.110697356
S137-NL-o18,2,0.324912939,0.163251546,-0.494848582,0.31054164,0.974662007,,-0.064351708,-0.311549462,-1.05757248,-0.670253943,1.310610196,0.206880168,-0.745059139,-0.615167848
S138-IM-o19,2,-1.232743668,-1.313897109,-2.292376937,-0.133964331,-0.005057098,,-1.072260948,0.198039158,-1.367036142,-1.613923365,-0.407632081,0.388321192,-1.122517369,-2.282387143
S139-BG-o20,2,-1.394440005,-0.278362113,-0.16584987,-0.000874384,-0.577075962,,-0.901321868,-1.395401534,-0.321932344,0.34397811,-0.388536541,-0.079351637,0.082389226,0.481747356
S150-LZ-o21,2,-1.001475291,0.071929646,-0.035835217,-0.318860326,-0.90904765,0.188687694,0.056789481,0.50543019,0.287508764,-1.395672527,-0.566881506,0.115353605,0.645302281,0.225514746
S151-TM-o22,2,-1.324795695,-1.274705614,-1.03847952,-0.948424895,-1.185467407,2.946327955,2.099295641,3.198695684,-1.228843956,-0.585668259,-0.835858264,0.720105596,-0.597190342,-0.464979425
S152-GM-o23,2,0.138857303,0.689980996,1.028705573,-0.154007788,-0.149821412,0.345479091,0.310726712,0.291594219,1.840721658,0.565443082,0.676141394,-0.224220945,0.171280079,0.51491291
S153-ShK-o24,2,-0.720463265,-0.386931966,0.135447435,0.744116975,-0.680959585,-1.75634275,,,0.246444843,-0.140209024,-1.338103568,0.776213919,1.147874421,2.797675844
S154-LT-o25,2,-0.044275038,-1.716558481,-1.201152673,0.806496852,-0.833441851,0.791414441,2.546862913,1.730421314,-1.009825885,0.827960282,-0.713018626,-1.644973972,-0.655434632,-1.149511463
S155-NG-o26,2,0.673264874,0.627023307,0.960682496,0.132686848,-0.021626366,-1.326934859,0.312185663,1.014229573,0.613995974,-0.345833197,-0.821858932,0.216933068,0.270424474,-0.014419328
S156-GL-o27,2,0.641886256,0.146382838,0.463853256,1.855489084,0.948235875,-0.663207908,-1.01016752,0.618829094,0.75000761,1.26209737,1.649618004,-0.119444842,0.142760453,-0.279817125
S157-Psh-o28,2,-0.642977471,-1.743482711,-1.026587128,-0.535265284,-1.223884632,0.691474264,0.726703493,0.612313783,-1.022018907,-1.228297267,-0.444891809,-1.939171565,-1.367539399,-1.061712517
S158-GK-o29,2,0.365048272,-0.460150642,-0.133939557,-0.257120145,0.382276763,-1.347989854,0.677159494,1.24228539,-0.075290407,-0.197727752,0.778222203,0.646366714,-0.596623228,-0.108232906
S159-TM-o30,2,-0.452970008,-0.527942427,-0.527165686,-0.665038382,0.482901293,0.204233497,0.115496872,1.464430689,-0.665409269,-0.5605049,1.126792752,-1.595380389,-1.141535759,-1.384832479
S160-OSL-o75,2,-1.53804022,-1.445001236,-0.967917229,0.103095314,-0.531416806,0.238066976,0.268181127,0.394375041,-0.596276611,0.296968781,0.337257835,-0.643515264,-0.305325462,-0.503910346
S161-Dkh-o61,2,-1.433068524,-1.378216146,-1.321020774,-0.265040778,-0.465485765,-0.255465758,0.167395053,0.348049691,-1.108806258,-1.150293037,-0.282379661,-0.632893061,-1.047263366,-1.550795172
S162-SJ-o62,2,-1.330097266,-0.759299211,-0.681271263,1.328795715,0.129531118,0.22104525,-1.44140752,-0.827386094,-0.423812981,0.674660826,0.759996138,-0.953709797,-0.64172763,-0.686346847
S163-NL-o63,2,-0.294377577,-1.340776982,-0.874466769,0.638773889,0.152437761,0.312836297,0.41024043,0.45919013,-0.622664661,-0.510087254,0.855425781,-1.433673818,-1.454421742,-1.302109626
S184-GC-o301,2,-0.022478764,-0.154571312,-0.183772888,-0.188189134,-0.426138908,0.40606619,0.219290658,0.397523665,0.415387409,-0.705023364,0.457127548,-1.746082699,-1.146132328,-1.12859696
S185-RK-o302,2,-1.23854006,1.527663145,1.431702225,0.023279991,1.202631933,-1.402182033,1.032880836,,1.661406248,0.784875722,1.058963694,-0.16809858,-1.189641095,-0.560936963
S186-LC-o303,2,0.776193796,0.305521006,0.992975903,-0.639876539,-0.824135238,0.631239721,0.671840506,0.803469105,-0.225714422,-0.520795855,0.171197434,0.981085138,0.638193157,0.738968965
S187-LC-o304,2,-1.444566069,-1.974246775,-1.280403876,0.000874384,-1.1670816,0.755654322,0.922372346,0.950629169,-0.947931793,-0.323588944,-0.910669248,-0.763484469,-1.194945965,-1.879119631
S188-DD-o305,2,0.503658803,0.757209371,0.650387267,-0.409200436,-0.77116291,-0.118720198,-0.850032896,-0.009867103,1.397730429,-1.308026988,-0.570085969,-0.51545535,-0.401442875,0.141380812
S189-GQ-o306,2,-0.937117574,1.18386141,1.551278033,-2.761963363,0.211009374,0.156106636,-0.010658712,1.676965634,1.56672007,1.548502936,0.670310749,0.362569316,-0.462169318,-1.195759363
S190-NL-o307,2,0.352864943,-0.516219174,-0.517222295,-0.114753434,-0.999855725,0.505208034,0.591024635,0.37999577,-0.078819109,-0.586610041,-1.032800948,-1.715535609,-2.099882981,-2.176399325
S191-GG-o308,2,-1.18332793,-0.438556802,-0.696176206,0.75774522,-0.48708878,0.306049634,-1.028037095,-0.157374636,-0.514031591,-0.687368408,-0.996932813,-1.759699063,-1.216585542,-1.872709871
S192-SK-o309,2,-0.479581638,-0.92081804,-0.377922324,0.342754365,-0.012834729,0.738296606,-0.085267076,0.783932734,-0.860664905,-0.7490684,-0.915970504,-0.427545141,-1.237309206,0.221954442
S193-MU-o310,2,-1.447394235,1.083969238,1.337663688,-0.900478439,-0.718533684,-0.451095136,-0.250665291,-0.124044294,1.59730876,1.084854149,-0.153885253,-0.294292081,-0.144606792,0.260412871
S194-RG-o311,2,-1.386115125,-1.121815297,-0.500391498,0.006163776,-0.102307697,-0.20708288,0.227987403,-0.219823,-0.512904109,-0.879993237,-0.013926525,-0.095471305,-0.112115437,-0.598186846
S195-MM-o312,2,-1.33656945,-0.934952171,-0.866142708,0.796898674,-1.336100001,0.251834373,0.348325365,0.365804904,-0.795527575,-0.070652846,-1.240040721,-1.060748506,-1.282665383,-1.595329352
S196-LI-o313,2,-1.348297979,0.953492036,1.379604505,-1.161618487,0.142947588,1.460022923,3.180769735,3.260087628,0.555618965,0.142306607,-0.440801516,0.164756529,-0.885291622,-1.784489598
S197-MJ-o314,2,-1.485078822,-1.895188691,-1.298627534,-0.489189612,-0.802611513,-0.898658728,0.659475773,0.369318857,-1.221389154,-1.2885742,-0.750644866,-0.765728094,-1.790254088,-1.571020453
S198-CJ-o315,2,-1.412800209,-1.201593987,-0.533171535,-1.065524418,-0.520814408,0.946121329,1.263046383,2.140663033,-0.880660776,-1.135453419,-1.05714143,-0.594388787,-1.010712082,-1.254962664
S199-LC-o316,2,-1.408816886,1.277816582,1.382859451,-1.585029653,-0.552680324,,-0.070467245,0.394264813,0.850460073,-0.17747169,-1.239653178,-0.327820535,-1.282464703,-2.219627315
S200-GF-o356,2,-0.884125936,-1.901424339,-1.095475598,0.534024771,-0.581853301,1.131852715,1.672419333,2.320857019,-0.820361173,-0.849316837,-1.039793672,0.441366563,-0.789577241,-0.929072033
S201-EC-o358,2,-1.435629809,-1.404025089,-1.365338096,-0.445615425,-0.25625446,-0.344309281,-0.69456248,-0.869156182,-0.900502488,-1.097714588,-0.82489664,-0.780901891,-0.998879895,-1.168401621
S202-XD-o359,2,-1.092550557,-1.694263868,-1.090345755,-0.413222217,-0.528171482,1.130846283,1.521327034,1.080833213,-1.02028898,-1.162763195,-0.851364308,0.744726681,-1.709182355,0.020466179
S203-NC-o360,2,-1.13951021,-1.417925769,-0.657912726,1.131878965,-2.453466455,0.519762941,0.885802327,1.200852732,-0.743725493,1.261506842,0.300586728,-1.338274662,-1.195422846,-1.833355377
S204-NG-o361,2,-0.584776459,0.438601965,0.533837934,-0.386990881,-0.200690861,-0.386802536,-0.77416238,-0.224505085,0.868358102,-0.327903625,0.111932443,-0.952932715,-0.453065731,-0.160981356
S205-MN-o365,2,0.454528514,0.932759992,0.913995763,0.189109895,0.202378977,0.380188657,-0.544339682,0.064577035,1.770562545,-0.794839312,1.239731767,-0.150857366,0.197006809,-0.405770468
S206-KR-o366,2,0.086241144,0.703417291,1.102046816,0.798455673,-0.481208904,-0.389352611,-0.754630127,-0.125173743,1.330170866,1.473206158,-0.470605078,-0.132388113,-0.104946748,-0.234440283
S207-NS-o367,2,0.429637536,-0.469357753,-0.158068078,-1.873278418,1.222643381,-0.519295405,-1.350092812,-2.447661579,0.5881316,-0.370565283,1.592998148,-0.45369764,0.559424317,0.303422494
