,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
94,S194-RG-o311,2,-0.553203665,-0.254964533,0.38863063,1.145524215,-0.014868449,0.489541766,0.582094576,-0.009146237,1.073433911,1.109587401,-0.553682444,-0.379748661,-0.299792326,-0.587578667
95,S195-MM-o312,2,-1.095931054,1.96871489,1.582883351,0.164455387,-0.170404347,1.589368275,1.123363537,0.248510119,0.342488214,-0.177434067,1.413057922,-0.724151508,-1.676578903,-1.328734111
96,S196-LI-o313,2,-0.173578133,1.654096201,2.145178959,-0.762601474,1.829120578,2.736379282,0.22168273822807016,-0.09711568585714285,0.467716955,-1.320495235,-0.185773103,0.064973792,-0.589071295,-1.752338199
97,S197-MJ-o314,2,1.311019176,1.638320276,0.983718613,-0.215026307,-0.361914848,0.8018777,0.65674989,0.413444681,1.122144648,-0.838673227,-0.609985177,-1.109336716,-1.559259315,-1.772516346
98,S198-CJ-o315,2,-1.629623858,1.301086142,1.673712693,-1.034053563,0.9471287,1.386460677,0.920127764,-1.174934605,0.704834468,-0.256531732,-0.961232682,0.006952858,-0.924144605,0.004925874
99,S199-LC-o316,2,-1.232000715,1.955300871,2.256571888,-1.027841604,-0.955808533,-2.202257738,0.50594674,0.779915843,1.226002833,0.58115394,0.068788529,-0.269829779,-0.475934832,-1.451731715
100,S200-GF-o356,2,-1.626688388,-0.919288296,-0.560388165,0.639818398,-0.120559268,0.988805602,1.200597841,0.671780935,-0.270752566,-0.147744445,-1.053198971,0.115850618,-0.811280446,-1.869372591
101,S201-EC-o358,2,0.9010595,0.028505147,0.202254719,-0.023376969,0.213719622,-0.284952583,0.226506768,0.052891871,1.172095286,-0.205250994,0.604822926,-0.140038756,-0.547389797,-0.98782273
102,S202-XD-o359,2,-0.684948721,-1.549584701,-0.771823982,-0.748473694,0.334219186,0.491353202,0.670221097,0.091959502,-0.938779269,-0.514663352,-0.013186844,-0.54989221,-2.084595604,-1.280450755
103,S203-NC-o360,2,-0.259835968,0.047172873,0.205763378,0.448967871,-1.445970035,1.198005374,2.008396727,0.716828815,-0.152726287,0.776231492,1.424164685,-0.752983805,-0.719048602,-1.458568164
104,S204-NG-o361,2,0.563418589,-0.123916941,-0.558116501,-0.327878437,-2.152997282,0.105524009,0.13448219,-0.378270602,-0.69509988,-0.781705715,1.501266662,-1.207662035,-0.729559673,-0.466136876
105,S205-MN-o365,2,-0.041335541,0.207975842,1.071844768,0.101809998,-0.395456661,0.663741463,-0.863789728,0.009146237,0.627389842,-0.788792438,-0.73064191,-0.190622226,0.410290331,-0.153135998
106,S206-KR-o366,2,-0.627535646,0.200095566,0.839940217,0.187109598,-1.412261719,-0.182809729,-0.418219461,-0.07836903,1.509320906,0.903389121,0.520993491,-0.102964285,-0.206773083,-0.670125195
107,S207-NS-o367,2,-0.782903644,-0.062742518,-0.182798065,-0.424562286,1.405939213,1.067785955,0.729509798,0.036564936,-0.200845212,-0.127270481,1.281274803,-1.696340503,-0.835034941,-0.019951607
