ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
S178-MM-y215,1,0.7699844,0.983266399,1.03558135,-1.944268035,0.844575332,-1.273598135,-3.154541188,-0.890341954,1.141948905,1.460598036,0.008623689,0.927565782,0.977465169,0.655042759
S179-TS-y216,1,-1.03199071,-0.854743045,-0.409841357,-0.312664825,0.902588472,0.361328258,0.256319623,-1.419903706,-0.448783226,-0.946361255,-0.217812673,-0.70015798,0.347507024,0.808170476
S180-SC-y217,1,-0.249104126,-0.413986134,-0.539939882,-3.021948395,1.065245099,0.238012153,-2.557297208,0.106969687,-0.273401781,0.991580805,0.128813135,-0.045066394,0.911214346,0.342651141
S181-AV-y218,1,-1.119474695,-0.702236752,-1.214782657,0.019263545,0.106286047,0.152776247,0.40130633,2.926595369,-1.204329576,-0.659493722,-1.024456978,2.082319375,1.683067933,1.394465976
S182-ZK-y219,1,0.173153753,0.96827376,0.099371035,-1.410730791,0.964878425,-0.063106299,-0.98679732,-0.833111356,-0.598275388,0.4960738,-0.050119207,0.932388668,1.213646782,0.16202028
S183-GE-y220,1,-0.219667105,-0.141593894,-0.226985544,0.070370298,1.967246963,-0.640155702,-0.328076994,,-0.502513961,-1.160421658,1.284692266,1.804778451,1.238160694,0.388007044
S102-RCh-o01,2,1.03164116,-0.138084252,-0.273430053,0.929818331,0.736599844,-2.633239135,-1.044359406,-1.37002461,-0.49990916,0.185077993,0.659788918,0.515700244,0.305175322,1.054208252
S106-LJ-o02,2,-1.036667434,0.186101763,0.007466376,1.06289295,-1.130333222,0.171205352,0.280480722,-0.283815016,0.206468924,1.532908804,1.56477057,0.397514442,0.523766833,0.771677598
S110-MK-o03,2,-1.205759989,-0.95328959,-1.191610751,0.335493785,-0.27310194,0.597705988,0.850431245,0.292319796,-0.572114945,-0.180854923,-0.605009528,-1.371882801,-1.293947995,-0.66101584
S111-ZK-o04,2,0.671060344,0.345264144,0.437869802,2.099852022,0.721208481,-1.05070596,-1.751300564,-1.057698609,0.355322077,1.165749843,0.871865812,-0.248748509,0.568009488,0.850099471
