Age,Subj,Time [ms],l_soa_GFP,25_GFP,RT_GFP
Young,35,378,2.019282103,1.906363964,1.866987109
Young,35,380,1.982497931,1.926966786,1.947870851
Young,35,382,1.933691978,1.954999685,2.027492523
Young,35,384,1.878534198,1.994107366,2.092982769
Young,35,386,1.826514244,2.039926052,2.149600506
Young,35,388,1.788444757,2.082319736,2.189850807
Young,35,390,1.771514297,2.113567591,2.200591326
Young,35,392,1.77985239,2.135030746,2.176872253
Young,35,394,1.81807363,2.143821955,2.131748915
Young,35,396,1.884671688,2.144335747,2.06644845
Young,35,398,1.971372128,2.13656354,1.994712949
Young,35,400,2.06230545,2.125362873,1.928410769
Young,35,402,2.13949585,2.114305258,1.880383253
Young,35,404,2.19061327,2.107106924,1.868773341
Young,35,406,2.199867725,2.109051466,1.889732361
Young,35,408,2.165156841,2.11361146,1.945507646
Young,35,409,2.093965054,2.11540699,2.035989046
Young,35,411,1.987122893,2.116185427,2.151482105
Young,35,413,1.864969373,2.109910965,2.275369644
Young,35,415,1.738885045,2.087795973,2.39831996
Young,35,417,1.61687696,2.055327415,2.508684158
Young,35,419,1.514046907,2.018601894,2.595515013
Young,35,421,1.439740658,1.975166082,2.653019667
Young,35,423,1.397609353,1.934655547,2.677275658
Young,35,425,1.387059331,1.896401763,2.65686059
Young,35,427,1.398617983,1.862589598,2.608926296
Young,35,429,1.430410624,1.83845222,2.535004377
Young,35,431,1.466811895,1.817641854,2.439841747
Young,35,433,1.506612062,1.804422021,2.340977907
Young,35,435,1.539254189,1.799091816,2.241390944
Young,35,437,1.565131426,1.800301433,2.157954216
Young,35,439,1.584395289,1.803339481,2.089306355
Young,35,441,1.603170037,1.809193134,2.039383411
Young,35,443,1.620523334,1.810580373,2.003955603
Young,35,445,1.637641191,1.811935544,1.981011748
Young,35,447,1.655989051,1.806664348,1.967774868
Young,35,449,1.6742661,1.797927976,1.958559513
Young,35,450,1.695353866,1.784158707,1.955261827
Young,35,452,1.719907284,1.765417576,1.948433876
Young,35,454,1.745896459,1.747139812,1.934497356
Young,35,456,1.769052386,1.730352879,1.908789515
Young,35,458,1.788473248,1.718631864,1.871559381
Young,35,460,1.800586343,1.712834358,1.819049001
Young,35,462,1.801466107,1.717454314,1.763590813
Young,35,464,1.789800644,1.733576536,1.7110008
Young,35,466,1.768342972,1.753806353,1.67258954
Young,35,468,1.740441918,1.773586273,1.657229424
Young,35,470,1.705787897,1.791384339,1.661244512
Young,35,472,1.665033937,1.804237485,1.676790476
Young,35,474,1.619817257,1.812014103,1.691725373
Young,35,476,1.571667433,1.818757415,1.705322266
Young,35,478,1.521029353,1.824288845,1.711280942
Young,35,480,1.472689152,1.833123326,1.719581246
Young,35,482,1.430381179,1.845293045,1.729951143
Young,35,484,1.393287897,1.860525727,1.733315945
Young,35,486,1.372708321,1.878070235,1.739196897
Young,35,488,1.367948174,1.897532344,1.735194802
Young,35,490,1.378155589,1.91972363,1.727272034
Young,35,492,1.397022486,1.943782568,1.7153548
Young,35,493,1.426129103,1.968577743,1.694611549
Young,35,495,1.452407956,1.99021244,1.666483283
Young,35,497,1.477380157,2.005857706,1.631034851
Young,35,499,1.502383351,2.014038801,1.586663008
Young,35,501,1.523602009,2.011042833,1.526196599
Young,35,503,1.539940596,1.998278141,1.462937951
Young,35,505,1.548830152,1.980309367,1.404809356
Young,35,507,1.553762794,1.959749341,1.363490701
Young,35,509,1.55691433,1.939759493,1.350181937
Young,35,511,1.561737537,1.925293684,1.358746886
Young,35,513,1.566271544,1.916164756,1.381398082
Young,35,515,1.580542684,1.913565278,1.403360367
Young,35,517,1.60441184,1.914858937,1.41659081
Young,35,519,1.642957926,1.91734767,1.419908881
Young,35,521,1.694495559,1.926295519,1.412341952
Young,35,523,1.761139393,1.938700318,1.395389318
Young,35,525,1.84005022,1.955847859,1.375057697
Young,35,527,1.924147129,1.976277947,1.353560925
Young,35,529,1.995188117,1.999488592,1.332897663
Young,35,531,2.053916216,2.024187088,1.310662746
Young,35,533,2.084840536,2.043772459,1.285232067
Young,35,534,2.078589678,2.054038525,1.25737536
Young,35,536,2.047987938,2.050935268,1.228425384
Young,35,538,1.993236661,2.03371048,1.195098519
Young,35,540,1.947247267,2.004945993,1.158491015
Young,35,542,1.906173348,1.969467402,1.118457079
Young,35,544,1.876798868,1.932852507,1.080438018
Young,35,546,1.847644091,1.898755908,1.044577599
Young,35,548,1.814034462,1.871389508,1.012571216
Young,35,550,1.791914701,1.848852634,0.991850734
Young,35,552,1.769202709,1.827872276,0.98193413
Young,35,554,1.749926805,1.807822466,0.978823364
Young,35,556,1.734593749,1.79005301,0.973294377
Young,35,558,1.723480225,1.776621819,0.963026881
Young,35,560,1.714757085,1.76997447,0.941628933
Young,35,562,1.706231356,1.770852089,0.915133655
Young,35,564,1.702397227,1.772373915,0.889261365
Young,35,566,1.701655865,1.769851923,0.869632006
Young,35,568,1.708147287,1.757203102,0.863170207
Young,35,570,1.709756494,1.737376332,0.870711029
Young,35,572,1.707751751,1.709174633,0.893043578
Young,35,574,1.68914175,1.675723791,0.928580701
Young,35,575,1.655771852,1.648931026,0.978157878
Young,35,577,1.60976398,1.634343266,1.039674759
Young,35,579,1.546823978,1.636079907,1.106159687
Young,35,581,1.48393321,1.65284121,1.168946624
Young,35,583,1.434171319,1.674571157,1.21922195
Young,35,585,1.390864849,1.700562,1.243243098
Young,35,587,1.361860752,1.728366971,1.235427022
Young,35,589,1.338846445,1.757196426,1.191191316
Young,35,591,1.327347159,1.790422916,1.119407654
Young,35,593,1.32201314,1.822467566,1.025530696
Young,35,595,1.314826608,1.847862124,0.930948138
Young,35,597,1.306784153,1.862226963,0.853705645
